timestamp,eye_open,perclos,mar,head_tilt,head_nod,status
1769707869.8109326,6.65,0.0,0.88,1,0,WARNING
1769707869.8390346,6.74,0.0,0.92,1,0,WARNING
1769707869.8985713,6.67,0.0,0.89,1,0,WARNING
1769707869.9113002,6.72,0.0,0.87,1,0,WARNING
1769707869.953014,6.49,0.0,0.91,1,0,WARNING
1769707870.0100753,6.43,0.0,0.91,1,0,WARNING
1769707870.0239234,6.37,0.0,0.92,1,0,WARNING
1769707870.0473063,6.44,0.0,0.9,1,0,WARNING
1769707870.0660133,6.38,0.0,0.92,1,0,WARNING
1769707870.0960815,6.51,0.0,0.88,1,0,WARNING
1769707870.1464248,6.38,0.0,0.92,1,0,WARNING
1769707870.1942372,6.55,0.0,0.89,1,0,WARNING
1769707870.2224162,6.58,0.0,0.9,1,0,WARNING
1769707870.2486963,6.42,0.0,0.82,1,0,WARNING
1769707870.2926633,6.38,0.0,0.79,1,0,WARNING
1769707870.3125796,6.34,0.0,0.8,1,0,WARNING
1769707870.347069,6.63,0.0,0.76,1,0,WARNING
1769707870.4005573,6.88,0.0,0.68,1,0,WARNING
1769707870.4190276,6.78,0.0,0.68,1,0,WARNING
1769707870.458112,6.09,0.0,0.6,1,0,WARNING
1769707870.4681463,6.27,0.0,0.6,1,0,WARNING
1769707870.49863,5.91,0.0,0.53,1,0,WARNING
1769707870.547696,5.95,0.0,0.39,1,0,WARNING
1769707870.602793,6.33,0.0,0.31,1,0,WARNING
1769707870.611243,5.94,0.0,0.33,1,0,WARNING
1769707870.6427326,6.23,0.0,0.34,1,0,WARNING
1769707870.6883957,6.63,0.0,0.3,1,0,WARNING
1769707870.7076235,6.65,0.0,0.29,1,0,WARNING
1769707870.7363355,6.97,0.0,0.28,1,0,WARNING
1769707870.7851634,7.15,0.0,0.26,1,0,WARNING
1769707870.804673,7.12,0.0,0.27,1,0,WARNING
1769707870.848831,7.32,0.0,0.25,1,0,WARNING
1769707870.9014244,7.3,0.0,0.23,1,0,WARNING
1769707870.9283364,7.32,0.0,0.23,1,0,WARNING
1769707870.9547777,7.49,0.0,0.22,1,0,WARNING
1769707870.9932177,7.42,0.0,0.22,1,0,WARNING
1769707871.0112557,7.4,0.0,0.23,1,0,WARNING
1769707871.0417483,6.84,0.0,0.23,1,0,WARNING
1769707871.0893395,6.65,0.0,0.23,1,0,WARNING
1769707871.1079793,6.67,0.0,0.23,1,0,WARNING
1769707871.1500394,7.27,0.0,0.23,1,0,WARNING
1769707871.1864133,7.86,0.0,0.23,1,0,WARNING
1769707871.2038414,7.46,0.0,0.23,1,0,WARNING
1769707871.2307618,7.83,0.0,0.23,1,0,WARNING
1769707871.3024871,7.5,0.0,0.23,1,0,WARNING
1769707871.3164048,7.13,0.0,0.23,1,0,WARNING
1769707871.3502588,7.57,0.0,0.23,1,0,WARNING
1769707871.3950005,7.68,0.0,0.23,1,0,WARNING
1769707871.4134476,7.64,0.0,0.23,1,0,WARNING
1769707871.440176,7.8,0.0,0.23,1,0,WARNING
1769707871.4931667,7.61,0.0,0.23,1,0,WARNING
1769707871.5076213,7.56,0.0,0.23,1,0,WARNING
1769707871.537538,7.89,0.0,0.23,1,0,WARNING
1769707871.5879128,7.89,0.0,0.23,1,0,WARNING
1769707871.60645,7.76,0.0,0.23,1,0,WARNING
1769707871.6319585,7.69,0.0,0.23,1,0,WARNING
1769707871.6801353,7.19,0.0,0.23,1,0,WARNING
1769707871.708152,7.39,0.0,0.23,1,0,WARNING
1769707871.751435,6.71,0.0,0.23,1,0,WARNING
1769707871.7934597,6.29,0.0,0.23,1,0,WARNING
1769707871.8121808,6.19,0.0,0.23,1,0,WARNING
1769707871.841688,6.72,0.0,0.23,1,0,WARNING
1769707871.885439,7.83,0.0,0.22,1,0,WARNING
1769707871.905068,8.33,0.0,0.23,1,0,WARNING
1769707871.9368973,7.07,0.0,0.23,1,0,WARNING
1769707871.9848902,8.08,0.0,0.23,1,0,WARNING
1769707872.0034752,7.48,0.0,0.23,1,0,WARNING
1769707872.033164,8.3,0.0,0.23,1,0,WARNING
1769707872.0847437,7.11,0.0,0.23,1,0,WARNING
1769707872.1042895,7.03,0.0,0.23,1,0,WARNING
1769707872.1261694,7.26,0.0,0.23,1,0,WARNING
1769707872.2002492,6.93,0.0,0.24,1,0,WARNING
1769707872.2418232,6.18,0.0,0.22,1,0,WARNING
1769707872.2675254,6.64,0.0,0.22,1,0,WARNING
1769707872.288934,5.92,0.0,0.22,1,0,WARNING
1769707872.3066573,5.88,0.0,0.23,1,0,WARNING
1769707872.4820688,7.99,0.0,0.25,1,0,WARNING
1769707872.503542,6.54,0.0,0.23,1,0,WARNING
1769707872.5296104,5.79,0.0,0.23,1,0,WARNING
1769707872.5751896,6.42,0.0,0.23,1,0,WARNING
1769707872.6395764,7.58,0.0,0.24,1,0,WARNING
1769707872.6605482,8.44,0.0,0.22,1,0,WARNING
1769707872.6903229,8.87,0.0,0.23,1,0,WARNING
1769707872.7083523,9.38,0.0,0.23,1,0,WARNING
1769707872.7366836,10.06,0.0,0.23,1,0,WARNING
1769707872.7859223,9.03,0.0,0.23,1,0,WARNING
1769707872.804834,9.07,0.0,0.23,1,0,WARNING
1769707872.8302839,8.92,0.0,0.23,1,0,WARNING
1769707872.881519,8.75,0.0,0.23,1,0,WARNING
1769707872.9075909,8.98,0.0,0.23,1,0,WARNING
1769707872.9333904,8.6,0.0,0.23,1,0,WARNING
1769707872.975579,8.7,0.0,0.23,1,0,WARNING
1769707873.0283952,8.31,0.0,0.23,1,0,WARNING
1769707873.0429556,8.34,0.0,0.23,1,0,WARNING
1769707873.0723717,8.23,0.0,0.22,1,0,WARNING
1769707873.135527,8.23,0.0,0.22,1,0,WARNING
1769707873.1562924,8.24,0.0,0.22,1,0,WARNING
1769707873.182704,8.15,0.0,0.23,1,0,WARNING
1769707873.210577,8.18,0.0,0.22,1,0,WARNING
1769707873.232803,8.19,0.0,0.23,1,0,WARNING
1769707873.284321,8.37,0.0,0.23,1,0,WARNING
1769707873.2997522,8.37,0.0,0.23,1,0,WARNING
1769707873.326874,8.71,0.0,0.23,1,0,WARNING
1769707873.3801622,8.41,0.0,0.23,1,0,WARNING
1769707873.4240103,7.49,0.0,0.23,1,0,WARNING
1769707873.4434223,7.09,0.0,0.23,1,0,WARNING
1769707873.474161,7.7,0.0,0.23,1,0,WARNING
1769707873.5212386,7.2,0.0,0.23,1,0,WARNING
1769707873.5375302,7.53,0.0,0.23,1,0,WARNING
1769707873.5858357,7.72,0.0,0.23,1,0,WARNING
1769707873.6953394,6.77,0.0,0.22,1,0,WARNING
1769707873.7768939,6.82,0.0,0.24,1,0,WARNING
1769707873.823765,5.42,0.0,0.23,1,0,WARNING
1769707873.84094,5.29,0.0,0.22,1,0,WARNING
1769707874.0484307,8.04,0.0,0.23,1,0,WARNING
1769707874.0775068,8.4,0.0,0.23,1,0,WARNING
1769707874.0847423,7.88,0.0,0.23,1,0,WARNING
1769707874.1037796,9.46,0.0,0.23,1,0,WARNING
